file_name,text
2834.png,The Divorce Shop by John Tenniel
2836.png,A Greek Festival by Thomas Ralph Spence
2986.png,Inventions of the Monsters by Salvador Dali
2991.png,Procession (Romeria) by Ulpiano Checa y Sanz
3083.png,The Conversion of St Paul by Girolamo Francesco Maria Mazzola (Parmigianino)
3085.png,"The Witches Sabbath, engraved by Bernard Picart 1673-1733 1732 by Girolamo Francesco Maria Mazzola (Parmigianino)"
3100.png,"Madonna and Child with Saints, c.1529 by Girolamo Francesco Maria Mazzola (Parmigianino)"
3107.png,The Death Of Caesar by Victor Honore Janssens
3108.png,Bacchus And Ariadne by Victor Honore Janssens
3118.png,An Attack on a Spanish Galleon by Harry Hamilton Johnston
3173.png,The Dog Cart by Henriette Ronner-Knip
3188.png,Immaculate Conception by Anton Raphael Mengs
3191.png,The apotheosis of Trajan by Anton Raphael Mengs
3196.png,"The Holy Family with St. Elizabeth, St. John the Baptist and two angels by Anton Raphael Mengs"
3209.png,Egeria Handing Numa Pompilius His Shield by Angelica Kauffmann
3214.png,Sappho Inspired by Love by Angelica Kauffmann
3216.png,Allegory of Sculpture by Angelica Kauffmann
3220.png,Erato the Muse of Lyric Poetry with a putto by Angelica Kauffmann
3241.png,Massacre of the Innocents 1611 by Guido Reni
3265.png,Waterloo by Cassius Marcellus Coolidge
3268.png,Baseball 1 2 3 by Cassius Marcellus Coolidge
3269.png,"A Favorite Custom, 1909 by Sir Lawrence Alma-Tadema"
3270.png,Sculptors in Ancient Rome by Sir Lawrence Alma-Tadema
3272.png,A Coign Of Vantage 1895 by Sir Lawrence Alma-Tadema
3274.png,"Ask Me No More, 1906 by Sir Lawrence Alma-Tadema"
3276.png,A Harvest Festival by Sir Lawrence Alma-Tadema
3282.png,Maria Magdalena by Sir Lawrence Alma-Tadema
3284.png,A Declaration by Sir Lawrence Alma-Tadema
3286.png,Autumn Vintage Festival by Sir Lawrence Alma-Tadema
3288.png,Vain Courtship 1900 by Sir Lawrence Alma-Tadema
3307.png,Return of the Prodigal Son 1667-70 by Bartolome Esteban Murillo
3319.png,Last Supper (copy) 16th century by Leonardo Da Vinci
3320.png,Anatomical Studies by Leonardo Da Vinci
3326.png,Landscape drawing for Santa Maria della Neve on 5th August 1473 by Leonardo Da Vinci
3330.png,Study sheet with horses by Leonardo Da Vinci
3332.png,Giant Crossbow by Leonardo Da Vinci
3344.png,"The Family of Darius before Alexander the Great (356-23 BC) illustration from Lives of Great Men Told by Great Men, edited by Richard Wilson, c.1920s by Paolo Veronese (Caliari)"
3345.png,The Rape of Europa by Paolo Veronese (Caliari)
3346.png,Mars and Venus with Cupid and a Dog by Paolo Veronese (Caliari)
3347.png,The Feast in the House of Levi by Paolo Veronese (Caliari)
3348.png,"Resurrection of Christ, 1570-75 by Paolo Veronese (Caliari)"
3351.png,Triumph of Venice (Trionfo di Venezia) by Paolo Veronese (Caliari)
3352.png,Jesus and the Centurion by Paolo Veronese (Caliari)
3354.png,"The Marriage Feast at Cana, detail of Christ and musicians, c.1562 by Paolo Veronese (Caliari)"
3355.png,"The Marriage Feast at Cana, detail of banqueting table with man in a green robe and dwarf with a parrot, c.1562 by Paolo Veronese (Caliari)"
3356.png,Battle of Lepanto c. 1572 by Paolo Veronese (Caliari)
3357.png,The Marriage at Cana 1563 by Paolo Veronese (Caliari)
3358.png,Perseus Rescuing Andromeda by Paolo Veronese (Caliari)
3359.png,Crucifixion (detail) by Paolo Veronese (Caliari)
3360.png,"The Baptism of Christ, c.1580-88 by Paolo Veronese (Caliari)"
3364.png,The Family of Darius before Alexander 1565-70 by Paolo Veronese (Caliari)
3367.png,Virgin in Glory with Saints c. 1562 by Paolo Veronese (Caliari)
3417.png,Les trois Bigoudenes dans la foret by Georges Lacombe
3418.png,Foxgloves by Georges Lacombe
3434.png,The Fishing Party 2 by Horatio Henry Couldery
3450.png,The Triumph of David by Lorenzo Lippi
3478.png,Still Life Of Flowers Including Mimosa And Other Flowers In A Glass Bowl by Blanche Odin
3505.png,"The Flower Market, Copenhagen by Paul-Gustave Fischer"
3551.png,William IIIs Lowland Wars 2 by Melchior de Hondecoeter
3555.png,Cocks Fighting by Melchior de Hondecoeter
3577.png,"Jean-Jacques Rousseau, 1766 by Allan Ramsay"
3617.png,The Burghers of Calais by Auguste Rodin
3668.png,Carnival by Camille Nicolas Lambert
3669.png,Summer Fair by Camille Nicolas Lambert
3697.png,The Madonna and Child with Saints Jerome and Mary Magdalene and angels by Correggio (Antonio Allegri)
